stock,endDate,totalAssets,totalLiab,totalStockholderEquity,asset_liability_ratio,debt_to_equity_ratio
SKYW,2018-12-31,6313212000.0,4348931000.0,1964281000.0,68.89,2.21
SKYW,2017-12-31,5474400000.0,3720078000.0,1754322000.0,67.95,2.12
SKYW,2016-12-31,5007966000.0,3657023000.0,1350943000.0,73.02,2.71
RCMT,2019-12-28,96173000.0,63770000.0,32403000.0,66.31,1.97
RCMT,2018-12-29,81510000.0,54311000.0,27199000.0,66.63,2.0
RCMT,2017-12-30,73279000.0,51248000.0,22031000.0,69.94,2.33
RCMT,2016-12-31,69831000.0,38576000.0,31255000.0,55.24,1.23
SMSI,2019-12-31,61197000.0,12513000.0,48684000.0,20.45,0.26
SMSI,2018-12-31,25203000.0,4640000.0,20563000.0,18.41,0.23
SMSI,2017-12-31,13877000.0,9310000.0,4567000.0,67.09,2.04
SMSI,2016-12-31,14308000.0,11249000.0,3059000.0,78.62,3.68
EIGI,2019-12-31,2584086000.0,2387132000.0,196954000.0,92.38,12.12
EIGI,2018-12-31,2606507000.0,2432053000.0,174454000.0,93.31,13.94
EIGI,2017-12-31,2600034000.0,2517029000.0,83005000.0,96.81,30.32
EIGI,2016-12-31,2756274000.0,2614138000.0,124383000.0,94.84,21.02
ASG,2019-12-31,245532111.0,10206671.0,235325440.0,4.16,0.04
